,Open,High,Low,Close,Volume
2022-01-01 00:00:00,30005.913385666187,30122.24348081218,29984.196781888855,30060.943415950886,3906.0
2022-01-01 01:00:00,29846.371514385002,29911.636246585425,29776.194442934877,29852.946594702786,1125.0
2022-01-01 02:00:00,30008.675939149885,30064.852365309685,29961.50337408841,30003.03683386408,3438.0
2022-01-01 03:00:00,30148.488865318253,30265.628224645323,30128.815702072443,30191.14977714232,3604.0
2022-01-01 04:00:00,29781.427393039296,29916.274716181666,29711.285674745417,29800.942739411556,1246.0
2022-01-01 05:00:00,29598.1282490991,29682.254365606062,29459.938295879,29540.50683803909,4892.0
2022-01-01 06:00:00,29508.862252387946,29674.764236720945,29472.050691250195,29566.074918672548,1554.0
2022-01-01 07:00:00,29497.221799197338,29596.90103261888,29373.124228067125,29502.82640020383,2793.0
2022-01-01 08:00:00,29539.898682386673,29581.8992183155,29443.38859178128,29499.466168702973,2519.0
2022-01-01 09:00:00,29308.198284183993,29455.34623020861,29296.283090539375,29328.857383188257,3491.0
2022-01-01 10:00:00,29502.35281870972,29634.51736425807,29470.7209143469,29504.73697816082,4518.0
2022-01-01 11:00:00,29717.011277319296,29724.721996519147,29614.717124304552,29660.295365246613,2026.0
2022-01-01 12:00:00,29670.519535836287,29816.340274995957,29576.115092421966,29673.501504758857,1984.0
2022-01-01 13:00:00,29854.80948559043,29976.102833452376,29772.3952883226,29898.949746152462,3781.0
2022-01-01 14:00:00,29938.671728718622,30118.429277330004,29856.0692260866,29992.451614602873,4766.0
2022-01-01 15:00:00,29873.72346753238,29965.738283974562,29715.014719374107,29820.593122026225,4553.0
2022-01-01 16:00:00,29866.339383673807,30008.37920939323,29816.242124446617,29894.343278842724,3788.0
2022-01-01 17:00:00,29703.049592501062,29751.46321038492,29654.506258181424,29702.566758676923,3544.0
2022-01-01 18:00:00,29829.34034794517,29978.186077668346,29800.403841168543,29878.25681893838,3866.0
2022-01-01 19:00:00,29859.15047835125,29912.330577885266,29798.688703041502,29868.271636741127,4686.0
2022-01-01 20:00:00,29882.62158969948,29955.294992293086,29697.651855538847,29831.299164032076,152.0
2022-01-01 21:00:00,29695.39987162791,29758.22311220075,29607.6053937534,29695.11325515129,2984.0
2022-01-01 22:00:00,29996.043955410445,30052.81901912705,29882.593022824538,29939.621522886093,266.0
2022-01-01 23:00:00,29879.86396109191,30047.5027951314,29844.2562349258,29908.715626472334,2927.0
2022-01-02 00:00:00,29823.592273684648,29874.46617545479,29776.947185781144,29823.05006203971,2034.0
2022-01-02 01:00:00,29795.411288870582,29829.130180505046,29613.54942105921,29752.623351942068,1592.0
2022-01-02 02:00:00,29852.904639637884,29966.23377432389,29823.212980216922,29859.085189052734,4465.0
2022-01-02 03:00:00,29905.77231270988,30012.351352012985,29900.70376333544,29932.174001925552,3577.0
2022-01-02 04:00:00,30057.398498989718,30065.723811469834,29962.73635692515,30014.72052424475,2880.0
2022-01-02 05:00:00,30087.627027228496,30134.48593479861,29973.151738763474,30100.884724846324,4421.0
2022-01-02 06:00:00,30532.96607676078,30609.395946628258,30434.760912058548,30529.21424502042,579.0
2022-01-02 07:00:00,30505.96829515565,30557.44746019678,30341.260776973108,30447.931241743496,3266.0
2022-01-02 08:00:00,30307.427432913704,30445.499490050028,30271.715051768802,30345.482695929186,865.0
2022-01-02 09:00:00,30158.751067908837,30231.774025892122,30144.253866258376,30182.72815027961,1241.0
2022-01-02 10:00:00,30249.078558483157,30390.864683920805,30171.83145382289,30305.924034794712,1007.0
2022-01-02 11:00:00,30518.508970968403,30607.37255572601,30477.751327257483,30531.71849333889,2766.0
2022-01-02 12:00:00,30472.340672088507,30572.9004173045,30474.38566959696,30508.929001807915,3182.0
